Ref,Val,Package,PosX,PosY,Rot,Side
"LED48","LED_ARGB","LED_RGB_0606",149.961600,-66.344800,0.000000,top
"LED49","LED_ARGB","LED_RGB_0606",153.162000,-67.411600,0.000000,top
"LED50","LED_ARGB","LED_RGB_0606",156.921200,-66.598800,0.000000,top
"LED51","LED_ARGB","LED_RGB_0606",160.883600,-66.649600,0.000000,top
"LED52","LED_ARGB","LED_RGB_0606",164.846000,-66.598800,0.000000,top
"LED53","LED_ARGB","LED_RGB_0606",168.808400,-66.598800,0.000000,top
"LED54","LED_ARGB","LED_RGB_0606",172.770800,-66.548000,0.000000,top
"LED55","LED_ARGB","LED_RGB_0606",146.456400,-77.927200,0.000000,top
"LED56","LED_ARGB","LED_RGB_0606",146.507200,-81.737200,0.000000,top
"LED57","LED_ARGB","LED_RGB_0606",146.507200,-85.699600,0.000000,top
"LED58","LED_ARGB","LED_RGB_0606",148.742400,-88.646000,0.000000,top
"LED59","LED_ARGB","LED_RGB_0606",151.942800,-91.033600,0.000000,top
"LED60","LED_ARGB","LED_RGB_0606",154.279600,-94.183200,0.000000,top
"LED61","LED_ARGB","LED_RGB_0606",156.514800,-97.485200,0.000000,top
"LED62","LED_ARGB","LED_RGB_0606",157.835600,-100.939600,0.000000,top
"LED63","LED_ARGB","LED_RGB_0606",160.883600,-103.276400,0.000000,top
"LED64","LED_ARGB","LED_RGB_0606",176.733200,-65.836800,0.000000,top
"LED65","LED_ARGB","LED_RGB_0606",180.746400,-65.074800,0.000000,top
"LED66","LED_ARGB","LED_RGB_0606",184.404000,-63.601600,0.000000,top
"LED67","LED_ARGB","LED_RGB_0606",188.417200,-63.550800,0.000000,top
"LED68","LED_ARGB","LED_RGB_0606",192.176400,-63.449200,0.000000,top
"LED69","LED_ARGB","LED_RGB_0606",194.513200,-60.807600,0.000000,top
"LED70","LED_ARGB","LED_RGB_0606",198.170800,-60.553600,0.000000,top
"LED71","LED_ARGB","LED_RGB_0606",202.184000,-60.960000,0.000000,top
"LED72","LED_ARGB","LED_RGB_0606",205.900000,-62.400000,0.000000,top
"LED73","LED_ARGB","LED_RGB_0606",164.592000,-76.454000,0.000000,top
"LED74","LED_ARGB","LED_RGB_0606",168.554400,-76.708000,0.000000,top
"LED75","LED_ARGB","LED_RGB_0606",172.262800,-78.333600,0.000000,top
"LED76","LED_ARGB","LED_RGB_0606",175.666400,-79.603600,0.000000,top
"LED77","LED_ARGB","LED_RGB_0606",179.476400,-80.873600,0.000000,top
"LED78","LED_ARGB","LED_RGB_0606",182.829200,-82.753200,0.000000,top
"LED79","LED_ARGB","LED_RGB_0606",186.842400,-83.007200,0.000000,top
"LED80","LED_ARGB","LED_RGB_0606",190.550800,-83.921600,0.000000,top
"LED81","LED_ARGB","LED_RGB_0606",194.513200,-84.632800,0.000000,top
"LED82","LED_ARGB","LED_RGB_0606",164.592000,-103.886000,0.000000,top
"LED83","LED_ARGB","LED_RGB_0606",167.843200,-106.172000,0.000000,top
"LED84","LED_ARGB","LED_RGB_0606",171.196000,-107.391200,0.000000,top
"LED85","LED_ARGB","LED_RGB_0606",174.955200,-108.661200,0.000000,top
"LED86","LED_ARGB","LED_RGB_0606",178.409600,-110.642400,0.000000,top
"LED87","LED_ARGB","LED_RGB_0606",182.321200,-111.556800,0.000000,top
"LED88","LED_ARGB","LED_RGB_0606",186.080400,-111.963200,0.000000,top
"LED89","LED_ARGB","LED_RGB_0606",189.992000,-112.623600,0.000000,top
"LED90","LED_ARGB","LED_RGB_0606",194.005200,-113.284000,0.000000,top
"LED91","LED_ARGB","LED_RGB_0606",209.854800,-62.738000,0.000000,top
"LED92","LED_ARGB","LED_RGB_0606",213.766400,-62.788800,0.000000,top
"LED93","LED_ARGB","LED_RGB_0606",217.779600,-62.839600,0.000000,top
"LED94","LED_ARGB","LED_RGB_0606",221.742000,-62.890400,0.000000,top
"LED95","LED_ARGB","LED_RGB_0606",225.704400,-63.042800,0.000000,top
"LED96","LED_ARGB","LED_RGB_0606",229.260400,-64.414400,0.000000,top
