1,72
2,72
3,72
4,72
5,72
6,71
7,68
8,68
9,70
10,70
11,67
12,67
13,65
14,68
15,63
16,64
17,62
18,66
19,66
20,67
21,67
22,72
23,71
24,68
25,71
26,71
27,71
28,71
29,71
30,71
31,71
32,71
33,71
34,67
35,67
36,71
37,70
38,70
39,70
40,71
41,70
42,70
43,71
44,71
45,71
73,70
74,70
75,69
76,69
77,69
78,71
79,71
80,71
81,73
100,73
101,71
102,71
103,71
104,72
105,68
106,71
107,70
108,70
145,70
146,70
147,70
148,70
149,70
150,68
151,68
152,68
153,65
244,67
245,68
246,66
247,63
248,66
249,61
250,62
251,62
252,62
271,63
272,60
273,51
274,60
275,63
276,57
277,60
278,63
279,65
298,64
299,63
300,62
301,68
302,71
303,71
304,72
305,73
306,73
310,70
309,71
308,69
307,69
316,70
317,69
55,39
56,35
57,63
58,65
59,65
60,65
61,55
62,55
63,55
82,55
83,55
84,55
85,57
86,57
87,60
88,54
89,54
90,54
109,54
110,54
111,41
112,53
113,53
114,54
115,54
116,45
117,45
154,45
155,49
156,49
157,49
158,45
159,46
160,42
161,52
162,23
190,32
191,21
192,34
193,43
194,25
195,24
196,38
197,38
198,30
199,27
200,32
201,29
202,34
203,39
204,29
205,30
206,29
207,39
226,39
227,38
228,25
229,22
230,30
231,37
232,35
233,43
234,43
325,56
326,56
46,37
47,49
48,48
49,42
50,56
51,57
52,56
53,52
54,50
64,50
65,52
66,52
67,42
68,36
69,70
70,71
71,71
72,73
91,73
92,73
93,72
94,72
95,73
96,71
97,71
98,71
99,70
136,71
137,71
138,71
139,70
140,70
141,71
143,72
163,71
164,72
165,70
166,70
167,73
168,75
169,76
170,75
171,75
253,75
254,75
255,72
256,73
257,71
258,71
259,70
260,74
261,69
280,67
281,69
282,66
283,67
284,67
285,66
286,68
287,71
288,70
315,70
314,66
313,66
118,64
119,64
120,64
121,64
122,72
123,72
124,72
125,71
126,71
127,72
128,73
129,70
130,70
131,69
132,69
133,68
134,70
135,69
144,69
142,72
235,69
236,69
237,70
238,68
239,68
240,70
241,71
242,65
243,66
262,66
263,68
264,66
265,65
266,68
267,65
268,71
269,66
270,64
289,66
290,67
291,66
292,68
293,70
294,68
295,66
296,68
297,70
312,71
311,70
172,69
173,91
174,68
175,68
176,66
177,67
178,66
179,64
180,66
181,66
182,61
183,60
184,73
185,67
186,67
187,68
188,68
189,70
208,68
209,66
210,67
211,68
212,67
213,65
214,68
215,68
216,71
217,71
218,71
219,70
220,70
221,71
222,70
223,70
224,69
225,73
320,74
321,74
322,74
323,74
324,74
319,73
318,73
