LED Number,Freeway,Direction,Longitude,Latitude,Tile,openLr Code,Free Flow Speed,Reference
1,101,North,34.457450,-119.980356,22/699279/1669046,C6qyXxh+xwo7dOUMBr0KCA==,72,
2,101,North,34.440808,-119.942794,22/699717/1669281,C6q6qhh8Xwo5TO40BSkKCw==,72,
3,101,North,0,0,0,0,0,2
4,101,North,34.432527,-119.890335,22/700328/1669398,C6rCBxh8lgo2QPA0/4sKCg==,72
