Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED147,LED_ARGB,LED_RGB_0606,238.2774,-85.7758,0.0,top
LED148,LED_ARGB,LED_RGB_0606,242.2398,-86.0298,0.0,top
LED149,LED_ARGB,LED_RGB_0606,245.9482,-85.217,0.0,top
LED15,LED_ARGB,LED_RGB_0606,57.023,-33.9598,0.0,top
LED150,LED_ARGB,LED_RGB_0606,249.9106,-85.2678,0.0,top
LED151,LED_ARGB,LED_RGB_0606,253.873,-85.6234,0.0,top
LED152,LED_ARGB,LED_RGB_0606,257.6322,-86.741,0.0,top
LED153,LED_ARGB,LED_RGB_0606,261.2898,-87.9602,0.0,top
LED154,LED_ARGB,LED_RGB_0606,231.1146,-113.0046,0.0,top
LED155,LED_ARGB,LED_RGB_0606,235.077,-113.1062,0.0,top
LED156,LED_ARGB,LED_RGB_0606,238.7854,-112.7506,0.0,top
LED157,LED_ARGB,LED_RGB_0606,242.7986,-112.5982,0.0,top
LED158,LED_ARGB,LED_RGB_0606,246.4562,-112.8522,0.0,top
LED159,LED_ARGB,LED_RGB_0606,250.2154,-113.665,0.0,top
LED16,LED_ARGB,LED_RGB_0606,60.7822,-34.2646,0.0,top
LED160,LED_ARGB,LED_RGB_0606,253.619,-115.697,0.0,top
LED161,LED_ARGB,LED_RGB_0606,256.5146,-118.3894,0.0,top
LED162,LED_ARGB,LED_RGB_0606,259.973,-119.473,0.0,top
LED163,LED_ARGB,LED_RGB_0606,261.0358,-54.2798,0.0,top
LED164,LED_ARGB,LED_RGB_0606,264.9982,-54.5338,0.0,top
LED165,LED_ARGB,LED_RGB_0606,267.9446,-57.277,0.0,top
LED166,LED_ARGB,LED_RGB_0606,270.637,-60.2234,0.0,top
LED167,LED_ARGB,LED_RGB_0606,273.2278,-63.1698,0.0,top
LED168,LED_ARGB,LED_RGB_0606,276.9362,-64.1858,0.0,top
LED169,LED_ARGB,LED_RGB_0606,280.8478,-64.7954,0.0,top
LED17,LED_ARGB,LED_RGB_0606,64.6938,-33.9598,0.0,top
LED170,LED_ARGB,LED_RGB_0606,284.4546,-66.6242,0.0,top
LED171,LED_ARGB,LED_RGB_0606,286.4866,-69.9262,0.0,top
LED172,LED_ARGB,LED_RGB_0606,260.6802,-68.6562,0.0,top
LED173,LED_ARGB,LED_RGB_0606,260.5786,-72.6186,0.0,top
LED174,LED_ARGB,LED_RGB_0606,260.5278,-76.7334,0.0,top
LED175,LED_ARGB,LED_RGB_0606,260.4262,-80.645,0.0,top
LED176,LED_ARGB,LED_RGB_0606,261.2898,-84.4042,0.0,top
LED177,LED_ARGB,LED_RGB_0606,260.7818,-92.2274,0.0,top
LED178,LED_ARGB,LED_RGB_0606,259.461,-95.885,0.0,top
LED179,LED_ARGB,LED_RGB_0606,259.7658,-99.5426,0.0,top
LED18,LED_ARGB,LED_RGB_0606,68.6562,-34.163,0.0,top
LED180,LED_ARGB,LED_RGB_0606,260.3246,-103.5558,0.0,top
LED181,LED_ARGB,LED_RGB_0606,262.4582,-107.0102,0.0,top
LED182,LED_ARGB,LED_RGB_0606,264.6426,-110.3122,0.0,top
LED183,LED_ARGB,LED_RGB_0606,266.6238,-113.665,0.0,top
LED184,LED_ARGB,LED_RGB_0606,268.9606,-117.0686,0.0,top
LED185,LED_ARGB,LED_RGB_0606,271.2466,-120.4214,0.0,top
LED186,LED_ARGB,LED_RGB_0606,273.3802,-123.6726,0.0,top
LED187,LED_ARGB,LED_RGB_0606,276.225,-126.3142,0.0,top
LED188,LED_ARGB,LED_RGB_0606,278.257,-129.5146,0.0,top
LED189,LED_ARGB,LED_RGB_0606,278.4602,-133.5278,0.0,top
LED19,LED_ARGB,LED_RGB_0606,72.3646,-35.0266,0.0,top
LED190,LED_ARGB,LED_RGB_0606,262.9662,-121.4882,0.0,top
LED191,LED_ARGB,LED_RGB_0606,265.9126,-124.2314,0.0,top
LED192,LED_ARGB,LED_RGB_0606,268.351,-127.4826,0.0,top
LED193,LED_ARGB,LED_RGB_0606,270.8402,-130.3274,0.0,top
LED194,LED_ARGB,LED_RGB_0606,273.6342,-132.0546,0.0,top
LED195,LED_ARGB,LED_RGB_0606,273.6342,-135.9662,0.0,top
LED196,LED_ARGB,LED_RGB_0606,273.685,-139.9794,0.0,top
LED197,LED_ARGB,LED_RGB_0606,273.685,-144.0434,0.0,top
LED198,LED_ARGB,LED_RGB_0606,274.0406,-148.0058,0.0,top
LED199,LED_ARGB,LED_RGB_0606,274.955,-151.8158,0.0,top
LED2,LED_ARGB,LED_RGB_0606,8.0518,-29.2862,0.0,top
LED20,LED_ARGB,LED_RGB_0606,76.073,-35.8902,0.0,top
LED200,LED_ARGB,LED_RGB_0606,275.5138,-155.6766,0.0,top
LED201,LED_ARGB,LED_RGB_0606,276.9362,-158.7246,0.0,top
LED202,LED_ARGB,LED_RGB_0606,280.3398,-160.4518,0.0,top
LED203,LED_ARGB,LED_RGB_0606,283.6418,-162.8394,0.0,top
LED204,LED_ARGB,LED_RGB_0606,287.1978,-164.1602,0.0,top
LED205,LED_ARGB,LED_RGB_0606,291.1602,-163.9062,0.0,top
